Weather and Climate Billion-Dollar Disasters to affect the U.S.: 2022
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Texas Hail Storms (February 2022),Severe Storm,20220221,20220222,1118.9,1008,0
Southern Tornado Outbreak (March 2022),Severe Storm,20220330,20220330,1381.6,1256,2
Southeast Tornado Outbreak (April 2022),Severe Storm,20220404,20220406,1544.8,1417,3
Southern Severe Weather (April 2022),Severe Storm,20220411,20220413,2915.7,2675,1
Southern and Central Severe Weather (May 2022),Severe Storm,20220501,20220503,1230.1,1139,1
North Central Hail Storms (May 2022),Severe Storm,20220509,20220509,2354.4,2160,0
North Central Severe Weather (May 2022),Severe Storm,20220511,20220512,2949.6,2706,1
North Central Hail Storms (May 2022),Severe Storm,20220519,20220519,2625.4,2431,0
Central Severe Weather (June 2022),Severe Storm,20220607,20220608,2025.7,1911,0
Central Derecho (June 2022),Severe Storm,20220613,20220613,3386.6,3195,1
North Central and Eastern Severe Weather (July 2022),Severe Storm,20220722,20220724,1420.4,1340,1
Kentucky and Missouri Flooding (July 2022),Flooding,20220726,20220728,1552.9,1465,42
Hurricane Fiona (September 2022),Tropical Cyclone,20220917,20220918,2685.7,2510,25
Hurricane Ian (September 2022),Tropical Cyclone,20220928,20220930,119626,111800,152
Hurricane Nicole (November 2022),Tropical Cyclone,20221110,20221111,1081.2,1020,5
Western Wildfires (Spring-Fall 2022),Wildfire,20220401,20221130,3296.6,3110,17
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,20221221,20221226,8951.7,8445,87
Western/Central Drought and Heat Wave (2022),Drought,20220101,20221231,23480.6,20965,136
