Weather and Climate Billion-Dollar Disasters to affect the U.S.: 2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,20240108,20240110,2780.2,2726,3
Northwest Winter Storm (January 2024),Winter Storm,20240112,20240114,1723.8,1690,20
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,20240114,20240118,1948.3,1910,41
Southern Severe Weather (February 2024),Severe Storm,20240210,20240212,1072,1051,0
Central and Eastern Severe Weather (February 2024),Severe Storm,20240227,20240228,1534,1504,0
Central and Southern Severe Weather (March 2024),Severe Storm,20240312,20240314,6151.6,6031,3
Central Tornado Outbreak and Eastern Severe Weather (April 2024),Severe Storm,20240401,20240403,2465.5,2441,3
Southern and Eastern Severe Weather (April 2024),Severe Storm,20240408,20240411,2725.1,2698,0
Central and Southern Tornado Outbreak (April 2024),Severe Storm,20240426,20240428,1697.8,1681,3
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,20240506,20240509,6571,6571,3
Southern Severe Weather (May 2024),Severe Storm,20240511,20240513,1124,1124,1
Southern Derecho (May 2024),Severe Storm,20240516,20240517,1551,1551,8
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,20240518,20240522,4907.8,4859,5
Central Tornado Outbreak (May 2024),Severe Storm,20240525,20240526,3466.4,3432,16
Texas Hail Storms (May 2024),Severe Storm,20240527,20240528,2348.3,2325,1
Colorado Hail Storms and Southern Severe Weather (May 2024),Severe Storm,20240531,20240601,3012.8,2983,0
Central and Eastern Severe Weather (June 2024),Severe Storm,20240612,20240614,1228,1228,0
Upper Midwest Flooding (June 2024),Flooding,20240616,20240623,1113,1113,4
Central and Northeast Severe Weather (June 2024),Severe Storm,20240624,20240626,1704,1704,3
New Mexico Wildfires (June 2024),Wildfire,20240617,20240707,1780,1780,2
Hurricane Beryl (July 2024),Tropical Cyclone,20240708,20240708,7219,7219,46
Central and Eastern Tornado Outbreak and Severe Weather (July 2024),Severe Storm,20240713,20240716,2435,2435,2
Hurricane Debby (August 2024),Tropical Cyclone,20240805,20240809,2476,2476,17
Hurricane Francine (September 2024),Tropical Cyclone,20240911,20240912,1291,1291,0
Hurricane Helene (September 2024),Tropical Cyclone,20240924,20240929,78721,78721,219
Hurricane Milton (October 2024),Tropical Cyclone,20241009,20241010,34250,34250,32
Southern/Eastern/Northwestern Drought and Heat Wave (2024),Drought,20240101,20241231,5417,5311,136
