Weather and Climate Billion-Dollar Disasters to affect the U.S.: 2020
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,20200110,20200112,1401.8,1149,10
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,20200205,20200207,1532.2,1256,3
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,20200302,20200304,2850,2336,25
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,20200327,20200328,3120.9,2558,0
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,20200407,20200408,3543.9,2881,0
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,20200412,20200413,4236.2,3444,35
Southern Severe Weather (April 2020),Severe Storm,20200421,20200423,1660.6,1350,3
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,20200427,20200430,1263.3,1027,1
Central and Eastern Severe Weather (May 2020),Severe Storm,20200503,20200505,2598.9,2113,2
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,20200520,20200523,1948.6,1584,2
South Texas Hail Storms (May 2020),Severe Storm,20200527,20200527,1722,1400,0
Central Severe Weather (July 2020),Severe Storm,20200710,20200711,1459.1,1196,0
Hurricane Hanna (July 2020),Tropical Cyclone,20200725,20200726,1300.8,1075,0
Hurricane Isaias (August 2020),Tropical Cyclone,20200803,20200804,5756.1,4757,16
Central Severe Weather - Derecho (August 2020),Severe Storm,20200810,20200810,13452.9,11027,4
Hurricane Laura (August 2020),Tropical Cyclone,20200827,20200828,28090.3,23215,42
Hurricane Sally (September 2020),Tropical Cyclone,20200915,20200917,8801.5,7274,5
Hurricane Delta (October 2020),Tropical Cyclone,20201009,20201011,3469.3,2867,5
Hurricane Zeta (October 2020),Tropical Cyclone,20201028,20201029,5266,4352,6
Tropical Storm Eta (November 2020),Tropical Cyclone,20201108,20201112,1766.7,1460,12
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,20200801,20201230,19904.5,16450,46
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,20200601,20201230,5439.1,4495,45
