Weather and Climate Billion-Dollar Disasters to affect the U.S.: 2018
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Central and Eastern Winter Storm (January 2018),Winter Storm,20180103,20180105,1324.6,1043,22
Northeast Winter Storm (March 2018),Winter Storm,20180301,20180303,2786.4,2194,9
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,20180318,20180321,1844.1,1452,0
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,20180413,20180416,1660.7,1318,3
Central and Northeast Severe Weather (May 2018),Severe Storm,20180501,20180504,1751.3,1390,0
Central and Eastern Severe Weather (May 2018),Severe Storm,20180513,20180515,1726.2,1370,5
Texas Hail Storm (June 2018),Severe Storm,20180606,20180606,1625,1300,0
Colorado Hail Storm (June 2018),Severe Storm,20180613,20180613,1193.8,955,0
Colorado Hail Storm (June 2018),Severe Storm,20180618,20180619,2778.8,2223,0
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,20180719,20180722,1981.6,1585,0
Mountain West Severe Weather (July 2018),Severe Storm,20180726,20180729,1063.8,851,0
Rockies and Plains Hail Storms (August 2018),Severe Storm,20180806,20180807,1281.4,1025,0
Hurricane Florence (September 2018),Tropical Cyclone,20180913,20180916,30000,24000,53
Hurricane Michael (October 2018),Tropical Cyclone,20181010,20181011,31218.8,24975,49
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,20180601,20181230,3797.4,2990,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,20180601,20181231,30000,24000,106
