Weather and Climate Billion-Dollar Disasters to affect the U.S.: 2012
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,20120302,20120303,4317.9,3128.8,42
Texas Tornadoes (April 2012),Severe Storm,20120402,20120403,1390.9,1015.3,0
Midwest Tornadoes (April 2012),Severe Storm,20120413,20120414,1539.4,1123.6,6
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,20120428,20120501,4488.6,3276.3,1
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,20120525,20120530,3156.1,2303.7,1
Rockies/Southwest Severe Weather (June 2012),Severe Storm,20120606,20120612,3559,2597.8,0
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,20120629,20120702,3957,2888.4,28
Hurricane Isaac (August 2012),Tropical Cyclone,20120826,20120831,3786.1,2763.5,9
Hurricane Sandy (October 2012),Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
Western Wildfires (Summer-Fall 2012),Wildfire,20120601,20121130,2381.7,1738.5,8
U.S. Drought/Heat Wave (2012),Drought,20120101,20121231,41705.2,30003.6,123
