Weather and Climate Billion-Dollar Disasters to affect the U.S.: 2019
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,20190223,20190225,1547.2,1237.5,2
Texas Hail Storm (March 2019),Severe Storm,20190322,20190324,1903.4,1535,0
Missouri River and North Central Flooding (March 2019),Flooding,20190314,20190331,13408.9,10727,3
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,20190413,20190414,1540,1252,7
South and Southeast Severe Weather (May 2019),Severe Storm,20190507,20190513,1862.4,1514,0
Central Severe Weather (May 2019),Severe Storm,20190516,20190518,1196.9,973,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,20190526,20190529,5655.6,4598,3
Arkansas River Flooding (June 2019),Flooding,20190520,20190614,3720.8,3025,5
Colorado Hail Storms (July 2019),Severe Storm,20190704,20190705,1239.8,1008,0
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,20190315,20190731,7649.6,6169,4
Hurricane Dorian (September 2019),Tropical Cyclone,20190828,20190906,1980.3,1610,10
Tropical Storm Imelda (September 2019),Tropical Cyclone,20190917,20190921,6150,5000,5
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,20191020,20191020,2113.1,1718,2
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,20190601,20191130,5535,4500,3
